IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IC_GROUP0;IC_GROUP1;IC_GROUP2
125;Ижмолоко;125;Y;;;/upload/iblock/fd2/Frame 260.png;;text;;;text;izhmoloko;500;;;;
126;Газпром;126;Y;;;/upload/iblock/78c/Frame 261.png;;text;;;text;gazprom;500;;;;
127;Локомед;127;Y;;;/upload/iblock/c28/Frame 262-1.png;;text;;;text;lokomed;500;;;;
128;Комос;128;Y;;;/upload/iblock/4f3/Frame 262.png;;text;;;text;komos;500;;;;
129;Техкрим;129;Y;;;/upload/iblock/e80/Frame 263-1.png;;text;;;text;tekhkrim;500;;;;
130;Coffee Like;130;Y;;;/upload/iblock/bd2/Frame 263.png;;text;;;text;coffee-like;500;;;;
131;Элеконд;131;Y;;;/upload/iblock/293/Frame 264-1.png;;text;;;text;elekond;500;;;;
132;Фармакон;132;Y;;;/upload/iblock/b7a/Frame 264.png;;text;;;text;farmakon;500;;;;
133;Увадрев-Холдинг;133;Y;;;/upload/iblock/9dc/Frame 265-1.png;;text;;;text;uvadrev-kholding;500;;;;
134;PRIDE;134;Y;;;/upload/iblock/f2a/Frame 265.png;;text;;;text;pride;500;;;;
135;TATSPIRTPROM;135;Y;;;/upload/iblock/f82/Frame 266-1.png;;text;;;text;tatspirtprom;500;;;;
136;Милком;136;Y;;;/upload/iblock/1a4/Frame 266.png;;text;;;text;milkom;500;;;;
137;Аксион;137;Y;;;/upload/iblock/fed/Frame 267-1.png;;text;;;text;aksion;500;;;;
138;Сарапульская Кондитерская Фабрика;138;Y;;;/upload/iblock/011/Frame 267.png;;text;;;text;sarapulskaya-konditerskaya-fabrika;500;;;;
139;Nika;139;Y;;;/upload/iblock/642/Frame 268.png;;text;;;text;nika;500;;;;
